i,j,idinspire,ind_2015,men_2015,men_pauv_2015,men_1ind_2015,men_5ind_2015,men_prop_2015,men_fmp_2015,ind_snv_2015,men_surf_2015,men_coll_2015,men_mais_2015,log_av45_2015,log_45_70_2015,log_70_90_2015,log_ap90_2015,log_inc_2015,log_soc_2015,ind_0_3_2015,ind_4_5_2015,ind_6_10_2015,ind_11_17_2015,ind_18_24_2015,ind_25_39_2015,ind_40_54_2015,ind_55_64_2015,ind_65_79_2015,ind_80p_2015,ind_inc_2015,ind_2017,men_2017,men_pauv_2017,men_1ind_2017,men_5ind_2017,men_prop_2017,men_fmp_2017,ind_snv_2017,men_surf_2017,men_coll_2017,men_mais_2017,log_av45_2017,log_45_70_2017,log_70_90_2017,log_ap90_2017,log_inc_2017,log_soc_2017,ind_0_3_2017,ind_4_5_2017,ind_6_10_2017,ind_11_17_2017,ind_18_24_2017,ind_25_39_2017,ind_40_54_2017,ind_55_64_2017,ind_65_79_2017,ind_80p_2017,ind_inc_2017
12601,17539,CRS3035RES200mN2520200E3507800,21,9,1.7,2.2,0.6,5.9,0.5,394500.6,878.3,0.6,8.4,1.5,1.7,3.2,2.6,0,0,0.3,0.5,1,1.8,1,1.6,5,3.3,4.6,1.4,0.5,25,11,1,2,0,9,0,552765.7,1190,0,11,0,6,4,1,0,0,2,0,1,0,1,1,7,3,10,0,0
12662,19282,CRS3035RES200mN2532400E3856400,2,0.8,0.1,0.1,0,0.7,0,40138.3,84.1,0.1,0.7,0.3,0.1,0.2,0.2,0,0,0.1,0,0.1,0.1,0.1,0.3,0.5,0.3,0.4,0.1,0,2,0.8,0.1,0.1,0,0.7,0,43687.6,87,0.1,0.7,0.3,0.1,0.3,0.1,0,0,0,0,0.1,0.2,0.1,0.3,0.4,0.3,0.4,0.2,0
12708,17713,CRS3035RES200mN2541600E3542600,20,8.6,1.4,1.8,0.5,6.8,0.9,396334.1,916.4,0,8.6,5.4,0.4,0.5,2.3,0,0,0.9,0.9,0.9,1.8,0.4,5,3.2,3.2,2.3,1.4,0,21,8.9,1.8,3.6,0.9,6.3,0.9,347593.7,978.1,0,8.9,5.4,0.4,0.4,2.7,0,0,0.9,0.9,2.7,2.2,0.9,5.4,3.1,2.2,1.8,0.9,0
12713,17644,CRS3035RES200mN2542600E3528800,9,4.3,1.3,1.7,0,2.3,0,186718,598,0,4.3,4,0,0.3,0,0,0,0.3,0.3,0.3,0.7,0.4,1,1,1.3,3.7,0,0,18,7,0,1.5,1,3.5,0,410904,932.5,2.5,4.5,4,0,0.5,2.5,0,0,1,0,1.5,1,0.5,3,2,3,4.5,1.5,0
12884,19565,CRS3035RES200mN2576800E3913000,11,4.4,0.3,0.7,0.4,4.1,0.4,263444,450.3,0.4,4,1.3,0.2,0.4,2.5,0,0,0.7,0.6,0.7,0.7,0.3,1.8,2.1,2.4,1,0.4,0.3,11,4.7,0.3,1.1,0.4,4.2,0.3,272963.5,495.6,0.6,4.1,1.3,0.2,1.1,2.1,0,0,0.6,0.3,0.9,0.8,0.4,2.1,1.4,2.7,1.4,0.4,0
12930,20167,CRS3035RES200mN2586000E4033400,137,64,4,28,3,41,6,4663457.4,4990,54,10,0,3,0,61,0,9,18,6,7,8,6,55,22,4,5,5,1,162,75,13,28,4,45,11,5870681.8,5652,65,10,0,3,3,69,0,8,14,8,11,8,9,72,20,9,6,5,0
13445,19916,CRS3035RES200mN2689000E3983200,15,5,0.8,0.8,1.2,4.2,0.4,288161.8,658.1,0.4,4.6,1.5,1.2,0.4,1.9,0,0,1.5,0.8,0.2,1.7,1.5,2.3,3.1,0.8,1.9,0.4,0.8,11.5,3.8,0.7,0,0.3,3.4,1,253481.5,506.7,0.4,3.4,1,0.7,0.4,1.7,0,0,0.7,0.5,0.3,1,2.1,1,3.8,0.7,1.4,0,0
13611,17208,CRS3035RES200mN2722200E3441600,48,14,1,1,3,14,0,963436.9,1559,0,14,0,0,3,11,0,0,0,1,7,7,3,10,10,4,5,0,1,47,14,0,1,3,14,0,967994.5,1559,0,14,0,0,4,10,0,0,0,0,4,11,3,6,13,3,7,0,0
13719,17320,CRS3035RES200mN2743800E3464000,12,4.8,0,0.9,0.2,3.9,0,294449.2,495.5,0,4.8,2.3,0.9,0.9,0.7,0,0,0.7,0.5,0.2,0.9,0.7,2.3,2.5,2.5,1.2,0.5,0,11,4,0.2,0.4,0.2,3.3,0.2,274881.3,425.1,0,4,2.2,0.5,0.7,0.6,0,0,0.7,0.6,0.5,0.6,0.6,2.2,1.8,2.5,1.1,0.4,0
13780,17298,CRS3035RES200mN2756000E3459600,7,2.6,0.1,0.3,0.1,2.4,0.1,191581.9,306.2,0,2.6,0.3,0,1.3,1,0,0,0.6,0.2,0.4,0.5,0,1.6,1.4,0.9,1,0.1,0.3,8,3.1,0.1,0.6,0.1,2.7,0.2,223432.7,357.8,0,3.1,0.4,0,1.5,1.2,0,0,0.4,0.5,0.5,0.4,0.5,1.6,1.8,0.9,1.3,0.1,0
13891,16630,CRS3035RES200mN2778200E3326000,5,2.2,0.2,0.8,0.3,1.8,0.2,110322.2,201.7,0,2.2,0.4,0.2,0.6,1,0,0,0.3,0.3,0.5,0.3,0.1,0.7,0.8,0.5,1.2,0.3,0,5,1.9,0.1,0.4,0.3,1.6,0.2,125308.7,180.9,0,1.9,0.3,0.2,0.6,0.8,0,0,0.2,0.2,0.5,0.4,0.3,0.5,0.7,0.4,1.3,0.5,0
13904,17949,CRS3035RES200mN2780800E3589800,1,0.4,0,0.2,0,0.4,0,21590.8,56.5,0,0.4,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0,1,0.4,0.1,0.1,0.1,0.3,0,18367.4,44.3,0,0.4,0.3,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.2,0.2,0.1,0.1,0.1,0
14323,18349,CRS3035RES200mN2864600E3669800,4.5,1.6,0.1,0.4,0.2,1.5,0.1,97330,180.1,0.1,1.5,1.1,0.1,0.2,0.2,0,0,0.2,0.1,0.7,0.4,0.3,0.8,0.9,0.3,0.7,0.1,0,6.5,2.4,0.1,0.6,0.3,2.1,0.2,145855,265.4,0.2,2.2,1.6,0.1,0.3,0.4,0,0,0.4,0.1,0.8,0.7,0.5,0.9,1.4,0.5,1,0.2,0
14349,17022,CRS3035RES200mN2869800E3404400,2,1.1,0.1,0.4,0,1,0.1,39613.6,104.6,0,1.1,0.9,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.2,0.2,0.3,0.6,0.5,0,2,1.1,0.1,0.4,0,1,0.1,40290.9,109.9,0,1.1,0.8,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0.2,0.4,0.6,0.5,0
14495,18800,CRS3035RES200mN2899000E3760000,4,1.4,0.4,0.5,0.2,0.3,0.1,82427.8,86.6,0.9,0.5,0.7,0.1,0.3,0.2,0.1,0,0.2,0.1,0.2,0.3,0.1,0.6,0.8,0.7,0.4,0,0.6,3,1.1,0,0.3,0.2,0.1,0,92558.8,76.3,0.7,0.4,0.1,0.1,0.5,0.3,0.1,0,0.2,0,0.1,0.2,0.2,0.4,0.7,0.9,0.3,0,0
14561,16873,CRS3035RES200mN2912200E3374600,3,1.3,0.1,0.5,0.1,1,0.1,64963.5,138.3,0.1,1.2,0.9,0,0.3,0.1,0,0,0.1,0.1,0.2,0.4,0.1,0.4,0.4,0.8,0.3,0.1,0.1,3,1.2,0.1,0.5,0.2,0.9,0,65289.5,132.7,0.1,1.1,0.7,0,0.3,0.2,0,0,0.1,0,0.2,0.4,0.2,0.4,0.6,0.6,0.5,0,0
14664,18375,CRS3035RES200mN2932800E3675000,12,4.7,0.5,0.5,0.3,3.4,0.8,251794,416.3,0,4.7,1.8,0.3,1,1.6,0,0,0.3,0.3,1,1,1,2.1,2.6,2.1,1.6,0,0,13,5.1,0.5,0.7,0.5,3.9,0.7,313670.3,479.9,0,5.1,1.9,0.2,1.2,1.6,0.2,0,0.9,0,1.1,0.9,0.7,2.3,2.3,2.5,2.1,0.2,0
14831,19552,CRS3035RES200mN2966200E3910400,5,2,0.4,0.2,0.2,1.8,0.2,97069.9,234.3,0,2,1.2,0.3,0.3,0.2,0,0,0.1,0.2,0.4,0.5,0,0.7,1,0.3,1.2,0.6,0,5,1.9,0.3,0.2,0.2,1.8,0.3,92044.8,226.9,0,1.9,1.2,0.2,0.3,0.2,0,0,0.4,0.1,0.4,0.6,0.1,0.7,0.7,0.3,1.2,0.5,0
14928,18190,CRS3035RES200mN2985600E3638000,1,0.4,0,0.1,0,0.3,0,22591.7,45.4,0,0.4,0.2,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0.2,0.2,0,0.2,0,0.1,1,0.4,0,0.1,0,0.3,0,23194.7,47.5,0,0.4,0.2,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.2,0.3,0.1,0.1,0.1,0
15140,19193,CRS3035RES200mN3028000E3838600,104,40,6,11,5,29,5,2146067.6,4244,2,38,32,4,3,1,0,0,3,3,9,12,5,19,21,12,9,9,2,121.5,45,9,12,6,29,4,2593490.5,4743,3,42,35,4,3,3,0,0,3,2,7,21.5,8,15,25,18,11,11,0
15193,18946,CRS3035RES200mN3038600E3789200,13,4.1,0.2,0.7,0.9,2.7,0.2,229003.3,412.1,0,4.1,0.4,0.7,1.4,1.6,0,0,0.9,0,0.7,1.8,1.4,3.2,2.3,0.7,0.7,0.4,0.9,13,4.2,0.8,0.4,1,2.8,0.2,241298.6,409,0,4.2,0.8,0.6,1.2,1.6,0,0,1,0.8,1,1.6,0.4,4.4,1.8,0.4,1.2,0.4,0
15447,18847,CRS3035RES200mN3089400E3769400,20,7.2,1,1.2,0.8,5.8,1,403114.5,817.1,0,7.2,2.5,0.5,1.7,2.5,0,0,0.8,0.8,1.4,2.1,1.4,3.5,4.9,2,1.7,1,0.4,19,6.8,1.1,1,0.7,5.9,0.8,399954.5,831.2,0,6.8,2.4,0.3,1.7,2.4,0,0,1,0.4,1.4,2,1.6,2.9,4.1,2.7,1.9,1,0
10256,21151,CRS3035RES200mN2051200E4230200,4,1.6,0.2,0.4,0.1,1.4,0,97370.7,197.5,0,1.6,0,0,0.3,1.3,0,0,0.1,0,0.3,0.3,0.1,0.3,1.4,0.4,0.8,0.1,0.2,4,1.9,0.3,0.6,0,1.7,0,95872,229.8,0,1.9,0,0,0.4,1.5,0,0,0.1,0,0.1,0.5,0,0.3,0.6,0.9,1.2,0.3,0
11512,19241,CRS3035RES200mN2302400E3848200,7,2.5,0.3,0.3,0.2,1.9,0.2,164493.3,255.4,0,2.5,0.4,0.3,1.2,0.6,0,0,0.2,0.1,0.2,0.8,0.4,0.7,2.2,0.8,1.1,0.2,0.3,8,2.8,0.4,0.3,0.4,2.2,0.3,208971,298.8,0,2.8,0.4,0.5,1.3,0.6,0,0,0.4,0.3,0.2,0.5,0.7,1,2.1,1.2,1.4,0.2,0
11635,17345,CRS3035RES200mN2327000E3469000,5,1.9,0.3,0.3,0.1,1.6,0.3,112428.9,233.7,0,1.9,0.4,0.3,0.5,0.7,0,0.1,0.1,0.2,0.4,0.4,0.4,0.3,1.4,1,0.6,0.1,0.1,5,1.9,0.3,0.4,0.2,1.7,0.1,113917.4,221.4,0,1.9,0.4,0.3,0.4,0.8,0,0.1,0.3,0,0.5,0.4,0.3,0.6,1.4,0.8,0.3,0.4,0
12552,18508,CRS3035RES200mN2510400E3701600,2,0.8,0.1,0.3,0.1,0.6,0.1,42544.2,89,0,0.8,0.4,0.2,0.1,0.1,0,0,0,0,0.1,0.2,0,0.2,0.5,0.2,0.2,0.3,0.3,2,0.9,0,0.4,0.1,0.7,0.1,44906,91.2,0,0.9,0.5,0.2,0.1,0.1,0,0,0.1,0,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0
12737,19939,CRS3035RES200mN2547400E3987800,18,6.8,0.6,1.5,1.5,4.8,1.5,483279.5,778.3,0.3,6.5,5.3,0,0.9,0.6,0,0,0.3,0.6,0.9,1.6,1.5,2.1,5.3,2.4,2.1,0.6,0.6,12,5.4,0.8,2.1,0.4,4.4,0.8,296636.9,641.5,0.2,5.2,3.8,0,0.8,0.8,0,0,0.4,0,1.3,0.2,1.2,2.1,2.7,2.5,1,0.6,0
12748,19396,CRS3035RES200mN2549600E3879200,4,1.4,0,0,0.1,1.2,0,83638.3,156.2,0,1.4,0.7,0,0.2,0.5,0,0,0.2,0.2,0.1,0.3,0.1,0.8,1,0.7,0.5,0.1,0,4,1.5,0,0.1,0,1.2,0.1,85109.8,158.6,0,1.5,0.8,0,0.3,0.4,0,0,0.1,0.2,0.1,0.5,0,0.6,1,0.7,0.7,0.1,0
12774,20343,CRS3035RES200mN2554800E4068600,3,1.4,0.2,0.7,0.1,0.9,0.2,59975.2,143.4,0.3,1.1,0.6,0.2,0.3,0.3,0,0,0.1,0.1,0.1,0.6,0.1,0.4,0.6,0.5,0.4,0.1,0,2,1.1,0.1,0.4,0,0.7,0.2,46524.2,119.6,0.2,0.9,0.5,0.2,0.3,0.1,0,0,0,0,0,0.3,0,0.3,0.5,0.5,0.3,0.1,0
12819,19830,CRS3035RES200mN2563800E3966000,2,0.8,0,0.1,0.1,0.7,0.1,55868.3,95.6,0.1,0.7,0.1,0.2,0.3,0.2,0,0,0,0,0.2,0.2,0,0.2,0.5,0.3,0.4,0.1,0.1,2,0.8,0,0.1,0.1,0.7,0.1,56190.7,97.6,0.1,0.7,0.1,0.2,0.2,0.3,0,0,0,0,0.1,0.2,0.2,0.2,0.5,0.3,0.4,0.1,0
13084,18820,CRS3035RES200mN2616800E3764000,2,0.8,0.2,0.2,0.1,0.5,0.1,41360.1,94.2,0.1,0.7,0.7,0,0.1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,0.4,0.2,0.3,0.2,0.2,1,0.4,0.1,0.2,0,0.2,0,19865.3,51.4,0,0.4,0.4,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.3,0.1,0.2,0.1,0
13349,18001,CRS3035RES200mN2669800E3600200,3,1.1,0.2,0.3,0.2,0.7,0,59964.6,92.8,0.2,0.9,0.4,0.3,0.4,0,0,0,0.1,0,0.3,0.3,0.2,0.5,0.5,0.2,0.7,0.2,0,3,1.2,0.2,0.3,0.1,0.7,0.1,57026,103.2,0.2,1,0.4,0.4,0.4,0,0,0,0.1,0,0.2,0.4,0.2,0.3,0.6,0.2,0.8,0.2,0
13551,18187,CRS3035RES200mN2710200E3637400,2,1.1,0.2,0.4,0,0.7,0.2,45034.2,94.5,0.1,1,0.7,0,0.2,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.5,0.4,0.6,0,0.1,3,1.5,0.2,0.6,0.1,0.9,0,76498.6,154.5,0.3,1.2,0.9,0,0.4,0.2,0,0,0.1,0,0,0.1,0.1,0.6,0.5,0.8,0.8,0,0
13619,17519,CRS3035RES200mN2723800E3503800,133.5,40,2,8,13,26,4,2650085.2,3886,0,40,1,0,1,38,0,7,16,6,19,14.5,5,38,24,2,5,0,4,149,42,2,6,15,28,2,3215508.4,4137,0,42,1,0,1,40,0,8,16,6,18,19,15,39,28,2,6,0,0
13844,18797,CRS3035RES200mN2768800E3759400,4,2.1,0,0.6,0.1,1.9,0.1,93745.6,232.1,0,2.1,0.4,0.3,0.8,0.6,0,0,0,0,0,0.4,0.1,0.2,0.8,0.8,1.2,0.4,0.1,9,3.7,0.1,0.8,0.3,3.5,0.3,242088.2,408.5,0,3.7,1.1,0.4,1.1,1.1,0,0,0.4,0.1,0.3,0.5,0.7,1.5,1.7,1.4,1.4,1,0
14123,16740,CRS3035RES200mN2824600E3348000,6,2.3,0.2,0.4,0.1,2,0.1,145863.4,295.6,0,2.3,0.4,0.1,0.5,1.3,0,0,0.5,0.3,0.3,0.5,0.1,1.8,0.8,0.7,0.8,0.1,0.1,6,2.1,0.1,0.3,0.2,1.8,0.1,140393,276.2,0,2.1,0.2,0.1,0.4,1.4,0,0,0.6,0.4,0.4,0.5,0.3,1.5,1,0.4,0.9,0,0
14166,16666,CRS3035RES200mN2833200E3333200,175,57,7,12,12,42,9,3603517.8,5492,4,53,15,7,3,32,0,8,10,4,15.5,30.5,13,25,44,7,8,8,10,163,55,4,14,11,42,6,3527979.7,5402,2,53,13,9,2,31,0,7,9,5,10,29.5,13.5,29,44,9,8,4,2
14428,17884,CRS3035RES200mN2885600E3576800,3,1.3,0.3,0.3,0,0.8,0.2,53020.1,154.9,0,1.3,1.1,0,0,0.2,0,0,0.1,0.1,0.2,0.2,0,0.5,1.1,0.4,0.3,0,0.1,3,1.3,0.2,0.4,0.1,0.8,0.1,58221.2,150.3,0,1.3,1.1,0,0,0.2,0,0,0.1,0,0.2,0.2,0.3,0.4,1.1,0.3,0.2,0.2,0
14482,17428,CRS3035RES200mN2896400E3485600,1,0.4,0,0.1,0,0.4,0,24025.8,47.8,0,0.4,0.2,0,0,0.2,0,0,0,0,0.1,0,0.1,0.4,0.1,0.1,0.1,0.1,0,1,0.4,0,0.1,0,0.4,0,24450.7,47.8,0,0.4,0.2,0,0.1,0.1,0,0,0,0,0.1,0,0,0.4,0.1,0.1,0.2,0.1,0
14514,16915,CRS3035RES200mN2902800E3383000,100.5,53,19,28,1,6,13,1402448.9,3520,50,3,7,0,46,0,0,46,7,3,8.5,12,6,22,15,12,8,7,0,100.5,53,20,29,4,5,13,1465944.3,3597,50,3,7,0,46,0,0,46,4,4,7.5,13,6,26,13,10,9,8,0
14539,16358,CRS3035RES200mN2907800E3271600,28.5,10.8,0.7,2.7,1.3,8.8,0.5,687312.1,1257.7,0.9,9.9,2.7,3.1,1.7,3.3,0,0,1.3,0.5,2.2,3.7,1,4.4,6.8,2.6,2.4,2.9,0.7,31,11.1,0.4,2.4,1.5,10.2,0.7,750320.6,1289.2,0,11.1,2.6,3.5,1.7,3.3,0,0,1.3,0.9,2.1,3.8,2.8,4.3,8,2.6,2.4,2.8,0
14603,19056,CRS3035RES200mN2920600E3811200,16,5.5,0.4,0.6,0.8,4.7,0.4,401834.2,618.3,0.4,5.1,3.7,0.6,0.8,0.4,0,0,0.2,0.6,1,1.9,0.8,2.3,4.3,1.9,1.4,1,0.6,13,4.8,0.5,0.3,0.5,3.8,0.7,324685.9,519.8,0.3,4.5,2.8,0.6,0.7,0.7,0,0,1.1,0.2,0.5,1.3,0.7,2.5,2.1,2.8,1.3,0.5,0
14605,20141,CRS3035RES200mN2921000E4028200,64,27,5,6,1,22,5,1453780.2,3261,6,21,17,0,5,5,0,0,1,2,4,4,5,9,21,12,4,2,0,62,27,4,6,0,21,3,1452625.2,3234,7,20,18,0,5,4,0,0,3,0,2,9,2,9,17,14,6,0,0
14893,18713,CRS3035RES200mN2978600E3742600,17.5,6.8,0.9,1.8,0.6,5.7,0.7,356794.3,649.5,0.2,6.6,2.9,0.2,0.4,3.3,0,0,1.3,0.5,1.4,1.3,1,4.2,3.7,2.2,0.9,0.6,0.4,19.5,7.9,0.9,2.1,0.4,6.2,0.6,404710.8,763.5,0.4,7.5,3,0.4,0.6,3.9,0,0,0.6,1.3,1.5,1.1,2.1,4.3,3.9,3.2,1.5,0,0
14932,18117,CRS3035RES200mN2986400E3623400,5,2.2,0,0.6,0,2.2,0,136065.4,214.1,0,2.2,1.5,0,0.5,0.2,0,0,0.2,0,0.2,0.2,0,0.5,1.7,1.1,0.5,0.2,0.4,5,2.1,0.1,0.7,0.1,2.1,0,112772.4,194.4,0,2.1,1.3,0,0.4,0.4,0,0,0.4,0.1,0,0.3,0.4,1,0.9,1.3,0.3,0.3,0
15166,18562,CRS3035RES200mN3033200E3712400,4,1.7,0.3,0.7,0.1,1.6,0,90028,175.7,0,1.7,0.5,0.4,0.6,0.2,0,0,0.1,0.1,0.1,0.4,0.1,0.7,0.7,0.6,0.6,0.4,0.2,4,1.8,0.3,0.7,0.1,1.7,0.1,89967.6,177.9,0,1.8,0.6,0.4,0.6,0.2,0,0,0.1,0,0.1,0.3,0.4,0.6,0.6,0.9,0.5,0.5,0
15577,18754,CRS3035RES200mN3115400E3750800,9,3.5,0.2,0.5,0.1,2.8,0.4,225204.7,411.5,0,3.5,0.4,0.1,0.2,2.8,0,0,0.1,0.2,0.6,0.9,0.4,1.4,2.4,1.4,1.3,0,0.3,8,3,0.1,0.4,0.3,2.3,0.1,193511.6,352.9,0,3,0.3,0.1,0.2,2.4,0,0,0,0.1,0.7,0.7,0.8,1,2,1.5,1,0.2,0
11255,20062,CRS3035RES200mN2251000E4012400,7,2.3,0.8,0.3,0.5,1.7,0.2,123111.4,221.2,0,2.3,0.2,0.4,1.1,0.6,0,0,0.2,0,0.4,0.5,0.1,1.1,1.3,1.8,1.1,0.3,0.2,5,1.9,0.6,0.5,0.4,1.5,0.3,94653.1,186.6,0,1.9,0.2,0.5,0.9,0.3,0,0,0.1,0,0,0.8,0.2,0.5,1.1,0.8,1.2,0.3,0
11411,19018,CRS3035RES200mN2282200E3803600,165,57,12,4,5,40,10,3197949.2,5443,0,57,0,0,10,47,0,17,3,0,14,28,12,12,56,12,25,1,2,160,57,9,7,6,39,6,3175587.5,5443,0,57,0,0,10,47,0,17,2,3,6,32,12,12,52,17,22,2,0
11512,19119,CRS3035RES200mN2302400E3823800,3,1.2,0.2,0.2,0.1,1,0.1,93701.7,190.7,0.2,1,0.3,0.1,0.2,0.6,0,0,0,0,0,0.2,0.1,0.3,0.4,0.5,1.1,0.3,0.1,2,0.7,0.1,0.2,0.1,0.6,0,62249,104.8,0.2,0.5,0.2,0.1,0.1,0.3,0,0,0,0,0,0.1,0.3,0.2,0.2,0.4,0.5,0.3,0
11580,19263,CRS3035RES200mN2316000E3852600,18,6,0.3,0.3,0.3,5.4,0.3,507197,712.3,0,6,0,0,0.6,5.4,0,0,0.3,0,2.2,3.3,0.6,2.4,5.3,2.4,0.3,1.2,0,17,5.9,0.8,0.3,0.3,5.3,0,439631.2,710.9,0,5.9,0,0,0.6,5.3,0,0,0.3,0,1.4,2.5,1.3,0.8,5.1,3.1,1.4,1.1,0
11662,17595,CRS3035RES200mN2332400E3519000,2,0.7,0.1,0.1,0,0.6,0.1,49590.3,112,0,0.7,0.5,0,0.1,0.1,0,0,0,0.1,0.1,0.2,0.1,0.2,0.4,0.4,0.3,0.1,0.1,3,1.2,0.2,0.2,0,0.9,0,78485.4,189.8,0,1.2,0.8,0.1,0.1,0.2,0,0,0.1,0,0.1,0.3,0.1,0.4,0.6,0.7,0.5,0.2,0
11731,19136,CRS3035RES200mN2346200E3827200,8,4.7,1.7,2.7,0.1,3.5,0.8,157558.2,436.7,1.1,3.6,2.9,0.3,0.5,1,0,0,0.2,0.2,0.5,0.6,0.1,1,1.1,1.8,1.6,0.7,0.2,9,4.7,1.5,2.5,0.3,3.5,0.8,189447.1,468.8,0.8,3.9,2.6,0.3,0.7,1.1,0,0,0.1,0.2,0.5,0.7,0.8,0.8,1.4,2.1,1.8,0.6,0
12644,17998,CRS3035RES200mN2528800E3599600,3,1.3,0.4,0.4,0.1,0.8,0.2,63655.3,145.3,0,1.3,0.9,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.5,0.2,0.1,3,1.5,0.4,0.5,0.1,1.1,0.2,69692.1,202.7,0,1.5,1,0.1,0.1,0.2,0.1,0,0.1,0.1,0.2,0,0.3,0.3,0.6,0.6,0.6,0.2,0
12801,19160,CRS3035RES200mN2560200E3832000,9,4.8,0.8,2.4,0.3,4,0,218101,497.4,0,4.8,2.6,1.1,0.3,0.8,0,0,0.5,0.3,0.8,0,0.3,1.3,1.1,1.3,2.1,1.3,0,10,5.4,0.9,3.1,0.3,4.9,0,242943.8,549.1,0,5.4,2.8,1.4,0.3,0.9,0,0,0.3,0.3,1.1,0,0.3,1.4,1.4,1.2,2.6,1.4,0
12893,20097,CRS3035RES200mN2578600E4019400,6,2.2,0.5,0.8,0.4,1.7,0.2,190500.6,242.4,1.4,0.8,0,0,0.2,2,0,0,0.2,0.2,0.6,0.6,0.5,1.2,1.1,0.6,0.8,0,0.2,5,1.9,0.3,0.4,0.3,1,0.3,106104.5,239.3,1.2,0.7,0,0,0.3,1.4,0.2,0,0.2,0,0.4,0.6,0.4,1.4,0.9,0.6,0.5,0,0
12979,17702,CRS3035RES200mN2595800E3540400,12,4.9,0.3,1.3,0.5,4.6,0,287585.1,567.5,0,4.9,3.1,0,0.3,1.5,0,0,0.8,0.5,0.3,0.6,0.5,1.8,2.3,2.3,1.6,0.8,0.5,11,4.8,0.8,1.2,0.2,4.2,0.6,218089,549.6,0,4.8,2.6,0.6,0,1.6,0,0,0.6,0.4,0.6,0.6,0.6,1.8,2.6,1.8,1.2,0.8,0
13169,20040,CRS3035RES200mN2633800E4008000,35,18,5,7,1,11,3,532947.5,1429,9,9,4,14,0,0,0,0,0,2.5,1,3.5,1,5,5,5,4,8,0,37,20,7,10,1,10,4,565067.4,1540,12,8,6,14,0,0,0,0,1,0,2.5,3.5,4,3,6,5,6,6,0
13173,19023,CRS3035RES200mN2634600E3804600,6,2.5,0,0.6,0.1,2,0.3,146364,288,0.1,2.4,0.9,0,0.9,0.7,0,0,0.2,0.1,0.4,0.8,0.1,0.6,1.5,0.9,1.2,0.1,0.1,6,2.4,0.2,0.5,0.2,1.9,0.3,143044.1,288.7,0.1,2.3,1,0,0.7,0.7,0,0,0.1,0.1,0.3,0.9,0.4,0.4,1.8,0.6,1.2,0.2,0
13316,19561,CRS3035RES200mN2663200E3912200,26,13,0,4,1,12,1,694968.5,1514,0,13,2,7,2,2,0,0,1,0,0,2,1,0,5,4,6,6,1,34.5,14,0,3,1,14,1,885131.3,1520,0,14,1,9,2,2,0,0,3,1,1.5,2,3,4,4,5,6,5,0
13505,18042,CRS3035RES200mN2701000E3608400,5,2.3,0.2,0.6,0,1.7,0.2,118632.6,211.5,0,2.3,0.3,0.1,1,0.9,0,0,0.2,0.1,0.2,0,0.5,0.9,1.2,1.3,0.1,0.5,0,4,1.7,0.2,0.3,0.1,1.3,0,92398.4,152.9,0,1.7,0.2,0.1,0.8,0.6,0,0,0.2,0.1,0.3,0,0.1,0.9,0.5,1.5,0.1,0.3,0
13639,18942,CRS3035RES200mN2727800E3788400,4,1.7,0,0.4,0,1.5,0,92328.8,182.8,0.4,1.3,0.5,0,0.5,0.7,0,0,0.1,0.1,0.1,0.4,0,0.5,1,1,0.3,0.4,0.1,4,1.7,0,0.4,0.1,1.4,0,93783.3,180.1,0.4,1.3,0.6,0,0.4,0.7,0,0,0.1,0.1,0.3,0.4,0.1,0.6,0.6,1.3,0.4,0.1,0
13665,19086,CRS3035RES200mN2733000E3817200,4,2.2,0.4,1.4,0.2,1.6,0,90617.1,221.4,0,2.2,1.2,0,0.6,0.4,0,0,0,0,0,0.2,0,0.8,0.8,0.4,1,0.8,0,2,1.2,0.1,0.6,0,1,0,42250.9,145.2,0,1.2,0.8,0,0.3,0.1,0,0,0.1,0,0,0.1,0,0.2,0.3,0.2,1,0.1,0
13963,19511,CRS3035RES200mN2792600E3902200,88,46,26,27,3,0,9,980873.2,2799,46,0,0,39,0,7,0,46,6,4,10,11,3,13,20,13,7,1,0,65,32,19,20,3,0,4,780742.9,1989,32,0,0,25,0,7,0,32,2,5,7,10,1,16,10,7,6,1,0
13967,16875,CRS3035RES200mN2793400E3375000,12,6,1.6,1.6,0.4,5.6,0.8,313018,828,0,6,0.4,0.4,2.8,2.4,0,0,0,0,0.8,0.8,0,0.8,1.6,1.2,4.8,1.6,0.4,13,6.7,0.4,1.8,0.4,4.9,0.4,391674.8,919.4,0.4,6.3,0.4,0.5,2.2,3.6,0,0,0,0,0.5,1.3,0,0.9,1.8,1.3,6.3,0.9,0
