i,j,idinspire,ind_2015,men_2015,men_pauv_2015,men_1ind_2015,men_5ind_2015,men_prop_2015,men_fmp_2015,ind_snv_2015,men_surf_2015,men_coll_2015,men_mais_2015,log_av45_2015,log_45_70_2015,log_70_90_2015,log_ap90_2015,log_inc_2015,log_soc_2015,ind_0_3_2015,ind_4_5_2015,ind_6_10_2015,ind_11_17_2015,ind_18_24_2015,ind_25_39_2015,ind_40_54_2015,ind_55_64_2015,ind_65_79_2015,ind_80p_2015,ind_inc_2015,ind_2017,men_2017,men_pauv_2017,men_1ind_2017,men_5ind_2017,men_prop_2017,men_fmp_2017,ind_snv_2017,men_surf_2017,men_coll_2017,men_mais_2017,log_av45_2017,log_45_70_2017,log_70_90_2017,log_ap90_2017,log_inc_2017,log_soc_2017,ind_0_3_2017,ind_4_5_2017,ind_6_10_2017,ind_11_17_2017,ind_18_24_2017,ind_25_39_2017,ind_40_54_2017,ind_55_64_2017,ind_65_79_2017,ind_80p_2017,ind_inc_2017
11268,17957,CRS3035RES200mN2253600E3591400,1,0.5,0.1,0.2,0,0.4,0.1,17637.1,49.4,0,0.5,0.2,0,0.1,0.2,0,0,0,0,0.1,0.1,0,0.2,0.2,0.1,0.2,0.1,0,1,0.5,0.1,0.3,0,0.5,0,22040.1,62.4,0,0.5,0.2,0,0.2,0.1,0,0,0,0,0.1,0.1,0,0.3,0.1,0.2,0.1,0.1,0
11340,19687,CRS3035RES200mN2268000E3937400,4,1.2,0.1,0.1,0.2,0.9,0.1,104432.5,108.9,0.1,1.1,0.1,0.2,0.2,0.7,0,0,0.3,0.2,0.3,0.6,0.1,1,0.7,0.5,0.2,0.1,0,5,1.5,0.1,0.2,0.2,1.1,0.1,133381,139,0.2,1.3,0,0.3,0.3,0.9,0,0,0.3,0.3,0.5,0.5,0.4,1.1,0.9,0.8,0.2,0,0
11347,19965,CRS3035RES200mN2269400E3993000,2,0.7,0.1,0.2,0.1,0.6,0.1,47343.4,74.6,0,0.7,0,0,0.2,0.5,0,0,0.1,0.1,0.2,0.2,0.1,0.3,0.5,0.2,0.2,0,0.1,2,0.7,0.1,0.1,0.1,0.5,0.1,43967.8,78.4,0,0.7,0,0,0.2,0.5,0,0,0.1,0.1,0.2,0.2,0.1,0.3,0.6,0.2,0.2,0,0
11478,17500,CRS3035RES200mN2295600E3500000,2,0.9,0,0.1,0,0.7,0.1,49223.7,99.8,0.2,0.7,0.1,0.2,0.3,0.3,0,0,0,0.1,0.1,0.1,0.1,0.5,0.3,0.2,0.4,0.2,0,2,0.9,0.1,0.1,0,0.7,0.1,50827.3,106.8,0.2,0.7,0.1,0.1,0.3,0.4,0,0,0,0.1,0.1,0.1,0.1,0.3,0.4,0.3,0.5,0.1,0
11567,17566,CRS3035RES200mN2313400E3513200,33,16,5,11,2,12,0,544240.3,1991,2,14,13,0,1,2,0,0,3,0,0,2,2,2,9,1,9,4,1,25,13,5,9,1,9,1,385084,1639,2,11,10,0,1,2,0,0,1,2,1,1,1,2,5,2,5,5,0
11626,19727,CRS3035RES200mN2325200E3945400,13,4.7,0.9,0.2,0.6,3.6,0.8,299464,492.7,0,4.7,0.6,0.4,1.3,2.4,0,0,0.4,0.4,0.6,1.8,0.2,1.3,2.4,1.5,3.2,0.6,0.6,9,3.4,1.1,0.3,0.3,2.2,0.6,192322,333.6,0,3.4,0.4,0.3,0.9,1.8,0,0,0,0.1,1.1,1.1,0.7,0.7,1.6,1.1,2.5,0.1,0
11984,19380,CRS3035RES200mN2396800E3876000,1,0.4,0,0.1,0,0.3,0,21560.6,47.3,0.1,0.3,0.1,0,0.2,0.1,0,0,0,0,0.1,0.1,0,0.2,0.2,0.1,0.3,0,0,1,0.5,0.1,0.2,0,0.3,0,20941.6,49.4,0.1,0.4,0.1,0,0.2,0.2,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0,0
12056,18000,CRS3035RES200mN2411200E3600000,2,1,0.2,0.3,0,0.9,0,37724.3,114.6,0,1,0.6,0.1,0.1,0.2,0,0,0,0,0.1,0.1,0,0.1,0.5,0.5,0.5,0.2,0,2,0.9,0.1,0.3,0,0.8,0,43191.5,105,0,0.9,0.5,0.1,0.1,0.2,0,0,0,0,0,0.2,0.1,0.1,0.5,0.4,0.5,0.2,0
12213,19431,CRS3035RES200mN2442600E3886200,3,1.3,0.4,0.4,0.1,1.1,0.1,49845.2,133.1,0.1,1.2,0.9,0,0,0.4,0,0,0.4,0,0.2,0.2,0,0.7,0.5,0.4,0.4,0.2,0,3,1.4,0.5,0.4,0,1,0.3,51298.6,140.8,0.1,1.3,1,0,0,0.4,0,0,0.3,0.1,0.2,0.2,0.1,0.7,0.4,0.4,0.4,0.2,0
12381,17568,CRS3035RES200mN2476200E3513600,10,5.3,0.3,2.5,0.3,3.3,0.8,310458.9,597.2,0,5.3,1.4,1.7,1.9,0.3,0,0,0.6,0.3,0.6,0.3,0.8,0.8,2.2,0.8,1.9,1.7,0,10,5.3,0.3,2.4,0.3,3.5,0.9,291430.2,649.3,0,5.3,1.5,1.5,2,0.3,0,0,0.3,0.6,0.9,0.3,0.3,1.5,1.2,1.2,2,1.7,0
12438,19790,CRS3035RES200mN2487600E3958000,9,3.2,0.3,0.6,0.3,2.9,0.3,208873.4,395.7,0.3,2.9,1.3,0.1,1,0.8,0,0,0.4,0.2,0.8,1.1,0.3,1.3,2.4,1.2,0.6,0.3,0.4,8,3,0.3,0.7,0.2,2.7,0.4,194097.6,380.1,0.2,2.8,1.2,0.1,0.9,0.8,0,0,0.2,0.2,0.5,1,0.7,0.9,2.1,1.4,0.7,0.3,0
12460,17401,CRS3035RES200mN2492000E3480200,4,1.5,0,0.2,0,1.4,0.2,112402,185.5,0,1.5,0,0.1,0.9,0.5,0,0,0.1,0.1,0.3,0.5,0.1,0.5,0.8,0.8,0.6,0.1,0.1,4,1.5,0,0.2,0,1.4,0.1,115323.9,183.5,0,1.5,0,0,1,0.5,0,0,0.1,0.1,0.3,0.6,0.2,0.4,0.9,0.6,0.7,0.1,0
12824,17973,CRS3035RES200mN2564800E3594600,2,1.1,0.2,0.4,0,0.8,0,40299.7,109,0,1.1,0.4,0.3,0.3,0.1,0,0,0,0,0,0.1,0,0.1,0.4,0.3,0.7,0.4,0,2,1.1,0.3,0.4,0,1,0,42820,115.2,0,1.1,0.4,0.2,0.4,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0.8,0.4,0
12929,19571,CRS3035RES200mN2585800E3914200,3,1.1,0.2,0.2,0.1,0.9,0.2,63540.2,124.4,0,1.1,0.6,0.1,0.4,0,0,0,0.1,0.1,0.1,0.4,0.1,0.4,0.7,0.4,0.4,0.2,0.1,3,1.2,0.2,0.2,0.1,0.9,0.1,73049.7,133.5,0,1.2,0.6,0.1,0.4,0.1,0,0,0,0.1,0.2,0.2,0.2,0.4,0.6,0.6,0.4,0.2,0.1
13044,18753,CRS3035RES200mN2608800E3750600,122.5,60,6,20,3,42,12,2524000,4865,12,48,35,18,4,3,0,0,1.5,0,5,8.5,4.5,14,22,24,28,7,8,117,58,5,21,3,41,11,2448490.6,4834.6,12,46,34,16,4,3,1,0,4,1,1,8.5,7.5,11,21,24,23,9,7
13091,19327,CRS3035RES200mN2618200E3865400,8,3.2,0,0.6,0.2,3.1,0,185622,416.8,0,3.2,1.8,0.1,1.1,0.2,0,0,0.5,0.5,0.1,0.6,0.3,0.8,1.2,1.4,1.5,1.1,0,7,3.3,0.4,1,0.1,3.3,0,162583.4,406.9,0,3.3,2,0.1,1,0.2,0,0,0,0.3,0.6,0.4,0.1,0.4,1.6,1.3,1.3,1,0
13326,19821,CRS3035RES200mN2665200E3964200,3,1.2,0.1,0.2,0.1,1.1,0.1,62197,128.3,0,1.2,0.4,0.1,0.3,0.4,0,0,0.1,0.2,0.3,0.1,0.2,0.5,0.6,0.3,0.6,0,0.1,3,1.2,0.1,0.3,0.1,1.1,0.1,64077.6,133.8,0,1.2,0.3,0.1,0.4,0.4,0,0,0.1,0.1,0.3,0.2,0.2,0.4,0.6,0.4,0.6,0.1,0
13593,17315,CRS3035RES200mN2718600E3463000,7.5,2.9,0.1,0.7,0.5,2.7,0.1,167248.6,304.5,0,2.9,0.7,0.3,1.3,0.6,0,0,0.2,0.1,0.6,1,0.5,1.5,1.3,1.4,0.5,0.4,0,8,3.2,0.2,0.9,0.5,2.9,0.1,182085.8,336.1,0,3.2,0.9,0.3,1.4,0.6,0,0,0.2,0.1,0.4,1.3,0.4,1.9,1.4,1.2,0.7,0.4,0
